timestamp,server,target_name,target_ip,status,transfer_bytes,bandwidth_bps,bandwidth_mbps,error
2026-04-08T21:21:45.217678,S1,H1,192.168.1.1,success,674103356,529860025,529.86,
2026-04-08T21:22:25.258107,S1,H2,192.168.2.1,error,0,0,0,Timeout
2026-04-08T21:22:35.653277,S1,H3,192.168.1.2,success,677380156,530306169,530.31,
2026-04-08T21:23:15.693783,S1,H4,192.168.2.2,error,0,0,0,Timeout
2026-04-08T21:23:26.100134,S1,H5,192.168.1.3,success,638713916,499908996,499.91,
2026-04-08T21:23:36.490261,S1,H6,192.168.1.4,success,678035516,531681429,531.68,
2026-04-08T21:23:46.862488,S1,H7,192.168.1.5,success,675283004,530345535,530.35,
2026-04-08T21:23:46.990084,S1,R1_VLAN1,192.168.1.254,error,0,0,0,No output from iperf
2026-04-08T21:23:47.118596,S1,R1_WAN,200.0.1.1,error,0,0,0,No output from iperf
2026-04-08T21:23:47.126496,S1,R2_WAN,200.0.1.2,error,0,0,0,No output from iperf
2026-04-08T21:23:47.134216,S1,R2_SVC,10.0.1.1,error,0,0,0,No output from iperf
2026-04-08T21:23:57.296397,S1,PROXY,10.0.1.3,success,1165230140,919067819,919.07,
2026-04-08T21:24:37.337847,S1,S2,10.0.1.4,error,0,0,0,Timeout
2026-04-08T21:34:09.407801,S1,H1,192.168.1.1,success,672006204,528252620,528.25,
2026-04-08T21:34:49.449513,S1,H2,192.168.2.1,error,0,0,0,Timeout
2026-04-08T21:34:59.831246,S1,H3,192.168.1.2,success,634912828,498024993,498.02,
2026-04-08T21:35:39.846496,S1,H4,192.168.2.2,error,0,0,0,Timeout
2026-04-08T21:35:50.207436,S1,H5,192.168.1.3,success,672661564,528951987,528.95,
2026-04-08T21:36:00.611710,S1,H6,192.168.1.4,success,637534268,499079213,499.08,
2026-04-08T21:36:10.970198,S1,H7,192.168.1.5,success,672268348,528863088,528.86,
2026-04-08T21:36:11.098176,S1,R1_VLAN1,192.168.1.254,error,0,0,0,No output from iperf
2026-04-08T21:36:11.226540,S1,R1_WAN,200.0.1.1,error,0,0,0,No output from iperf
2026-04-08T21:36:11.234349,S1,R2_WAN,200.0.1.2,error,0,0,0,No output from iperf
2026-04-08T21:36:11.241375,S1,R2_SVC,10.0.1.1,error,0,0,0,No output from iperf
2026-04-08T21:36:21.373900,S1,PROXY,10.0.1.3,success,1164312636,920760994,920.76,
2026-04-08T21:37:01.415710,S1,S2,10.0.1.4,error,0,0,0,Timeout
